Chervonohrad,Ukraine,2.99,10.88,2.86,0.65,0.89,0.89,0.39,0.26,0.54,0.55,0.92,1.21,2.18,3.53,3.8,0.39,0.82,0.82,0.77,0.23,0.3,0.61,0.4,3.53,0.51,0.92,1.63,nan,nan,0.95,0.2,2.04,0.82,16453.82,15451.18,59.83,0.01,2.72,nan,5.44,3.4,67.99,5412.08,43.97,28.54,54.38,102.89,nan,nan,nan,nan,407.95,nan,nan,15.55,0
Zhukovskiy,Russia,4.8,48.0,5.2,3.2,4.0,2.4,1.04,0.8,1.12,0.83,1.92,1.44,12.0,4.51,12.0,1.28,1.12,1.12,4.8,0.51,0.56,2.4,0.74,4.48,0.96,1.92,2.56,0.75,nan,1.68,0.24,nan,0.81,nan,nan,132.5,0.02,3.2,nan,nan,5.6,nan,nan,40.0,48.0,96.0,nan,504.0,320.0,nan,nan,nan,nan,nan,14.0,0
